t,i1j1,i2j1,i3j1,i4j1,i5j1,i6j1,i7j1,i8j1,i9j1,i10j1,i1j2,i2j2,i3j2,i4j2,i5j2,i6j2,i7j2,i8j2,i9j2,i10j2,i1j3,i2j3,i3j3,i4j3,i5j3,i6j3,i7j3,i8j3,i9j3,i10j3,i1j4,i2j4,i3j4,i4j4,i5j4,i6j4,i7j4,i8j4,i9j4,i10j4,i1j5,i2j5,i3j5,i4j5,i5j5,i6j5,i7j5,i8j5,i9j5,i10j5,i1j6,i2j6,i3j6,i4j6,i5j6,i6j6,i7j6,i8j6,i9j6,i10j6,i1j7,i2j7,i3j7,i4j7,i5j7,i6j7,i7j7,i8j7,i9j7,i10j7,i1j8,i2j8,i3j8,i4j8,i5j8,i6j8,i7j8,i8j8,i9j8,i10j8,i1j9,i2j9,i3j9,i4j9,i5j9,i6j9,i7j9,i8j9,i9j9,i10j9,i1j10,i2j10,i3j10,i4j10,i5j10,i6j10,i7j10,i8j10,i9j10,i10j10,i1j11,i2j11,i3j11,i4j11,i5j11,i6j11,i7j11,i8j11,i9j11,i10j11,i1j12,i2j12,i3j12,i4j12,i5j12,i6j12,i7j12,i8j12,i9j12,i10j12,i1j13,i2j13,i3j13,i4j13,i5j13,i6j13,i7j13,i8j13,i9j13,i10j13,i1j14,i2j14,i3j14,i4j14,i5j14,i6j14,i7j14,i8j14,i9j14,i10j14,i1j15,i2j15,i3j15,i4j15,i5j15,i6j15,i7j15,i8j15,i9j15,i10j15
2019-01-01,13.982499,14.247749,14.200999,15.11375,15.342749,15.821249,15.67175,14.90325,14.92975,15.327499,13.84075,14.2682495,13.9627495,14.684499,15.03325,15.83125,15.376249,14.897999,15.0477495,15.464999,13.765249,14.303249,13.839,14.3335,14.85025,15.8654995,15.129,14.917999,15.176,15.61025,13.94625,14.4625,13.97575,14.39475,15.103749,15.8645,14.97975,14.9395,15.2994995,15.75675,14.073,14.59925,14.183001,14.561999,15.344749,15.691999,14.91225,15.000999,15.4140005,15.804251,14.1585,14.719249,14.4435005,14.8095,15.575999,15.3885,14.907,15.0925,15.521,15.777499,14.1845,14.808249,14.621,15.023,15.605999,15.138749,14.851,15.1565,15.641249,15.77725,14.24025,14.9005,14.7715,15.183999,15.62525,14.9574995,14.84725,15.2245,15.706249,15.77375,14.35425,15.00125,14.876749,15.2515,15.639999,14.898499,14.9435,15.301499,15.668,15.76225,14.12,15.04975,15.046,15.29525,15.655001,14.88,15.000999,15.345501,15.699251,15.73075,13.78475,15.07725,15.2565,15.35775,15.68375,14.886499,15.03475,15.376751,15.74225,15.688,13.547,15.0807495,15.5865,15.578249,15.78775,14.96325,15.0045,15.4,15.71625,15.6215,13.26475,14.9625,15.67825,15.71725,15.83675,15.071499,14.933001,15.356251,15.64475,15.553,12.944749,14.742,15.568999,15.7875,15.838499,15.206999,14.827499,15.255501,15.53475,15.481501,12.520249,14.181749,15.1172495,15.603499,15.87425,15.278999,14.7265,15.1405,15.3965,15.41025
2019-01-02,13.65225,14.1795,15.318998,15.781751,15.8984995,15.998124,16.148375,15.1545,15.322624,15.622375,13.541,14.086249,15.049749,15.727499,15.8151245,16.0625,15.818376,15.195623,15.377251,15.723125,13.495501,13.991624,14.676,15.548875,15.662001,16.108875,15.471,15.2685,15.433124,15.804374,13.709375,13.98075,14.269251,15.059124,15.3985,16.03775,15.281249,15.290374,15.5391245,15.960751,13.869,14.106124,14.024624,14.755123,15.23925,15.915625,15.227625,15.284625,15.666125,15.99675,13.987625,14.335625,13.9036255,14.592625,15.159124,15.754499,15.277124,15.258751,15.809125,15.9415,13.983624,14.453625,14.018624,14.586249,15.252749,15.599499,15.1258745,15.374125,15.848,15.842,14.037,14.560375,14.201,14.657249,15.314375,15.40575,15.028998,15.432501,15.8685,15.771875,14.203,14.6545,14.488,14.858,15.3028755,15.141875,15.0475,15.375999,15.86325,15.7595005,14.135749,14.71575,14.5512495,14.9605,15.35825,15.007,15.043876,15.4157505,15.80225,15.770748,14.015124,14.7715,14.57225,15.01925,15.424624,14.91575,15.025999,15.4748745,15.734125,15.765375,14.042748,14.85725,14.786124,15.015374,15.424,14.8285,14.966,15.4555,15.735499,15.614749,13.811125,14.882626,15.024374,15.082874,15.43625,14.88075,14.942874,15.41275,15.709375,15.519625,13.360875,14.856626,15.282,15.210625,15.459374,15.051498,14.951375,15.34975,15.660875,15.471624,12.607499,14.62275,15.333375,15.469501,15.576124,15.257626,14.795999,15.33375,15.482375,15.476998
2019-01-03,13.525875,14.404751,14.729376,15.313251,15.586374,15.8025,16.053875,15.178249,15.318375,15.489625,13.44675,14.404499,15.036124,15.417875,15.645125,15.898375,15.861,15.183,15.426001,15.565999,13.392126,14.290126,15.3305,15.576374,15.743,16.000374,15.646001,15.181124,15.5061245,15.628625,13.456499,14.019499,15.432,15.665625,15.89275,16.012125,15.519874,15.25225,15.579373,15.718375,13.533249,13.8428755,15.277999,15.709875,15.8945,15.940625,15.438125,15.273,15.602125,15.758625,13.619124,13.738874,14.929874,15.719125,15.78325,15.805625,15.390499,15.25625,15.586375,15.760875,13.736,13.803999,14.501499,15.308,15.4835005,15.773251,15.30625,15.231125,15.655,15.718749,13.849626,13.926874,14.1762495,14.92575,15.202,15.6831255,15.215625,15.226376,15.698999,15.649124,13.955375,14.14275,14.046249,14.629249,14.969375,15.479625,15.115749,15.259748,15.691251,15.5335,13.93075,14.26225,14.054375,14.52325,14.889126,15.3047495,15.033751,15.263875,15.677625,15.53725,13.89625,14.3505,14.123499,14.5,14.882,15.133499,14.9605,15.263374,15.663125,15.558624,14.064375,14.443875,14.280375,14.5875,15.00725,14.929375,14.904626,15.2935,15.657,15.443625,13.928501,14.543375,14.435124,14.627,15.06775,14.821999,14.872749,15.251751,15.626625,15.3672495,13.535875,14.6485,14.588499,14.625625,15.07275,14.796625,14.860875,15.148999,15.5755005,15.323,12.826874,14.2975,14.66625,14.717,15.062374,14.822374,14.795875,15.21575,15.434,15.3705015
2019-01-04,13.26575,13.573499,14.720249,15.302875,15.424625,15.4445,15.340875,14.780749,14.97225,14.901249,13.218499,13.704499,14.583125,15.2231245,15.362499,15.458249,15.28075,14.8435,15.076,15.0303755,13.160125,13.838,14.443125,15.103376,15.2825,15.466625,15.206375,14.897501,15.169749,15.14925,13.203499,13.946751,14.411376,14.972124,15.193375,15.460001,15.165626,14.9227495,15.252125,15.2371235,13.20425,13.964999,14.457251,14.97025,15.164875,15.480874,15.132374,14.938749,15.293625,15.27775,13.17325,13.9145,14.562249,15.06625,15.182375,15.5225,15.105499,14.947626,15.304,15.282126,13.283249,13.633999,14.754126,15.138749,15.394125,15.560874,15.135126,14.973249,15.296625,15.282375,13.39275,13.447125,14.80725,15.213125,15.557626,15.579623,15.138125,14.983999,15.300124,15.259251,13.489999,13.448875,14.600625,15.292749,15.618626,15.563499,15.088001,14.965375,15.325,15.194625,13.531125,13.6225,14.277126,15.201625,15.413124,15.44675,15.0985,14.955626,15.351125,15.160124,13.580749,13.829375,13.972375,15.02025,15.138125,15.295876,15.101625,14.960375,15.372125,15.141999,13.789,13.89225,14.0096245,14.640875,14.981626,15.142875,14.943251,15.032625,15.358126,15.1595,13.884874,14.036374,14.097374,14.431251,14.865,15.0175,14.855124,15.051126,15.390501,15.175624,13.886125,14.250375,14.22775,14.36475,14.782624,14.915374,14.82675,15.024625,15.46225,15.190749,13.557249,14.241625,14.308999,14.4445,14.758499,14.827374,14.764875,15.070126,15.387875,15.244375
2019-01-05,13.6565,14.480125,14.982748,15.138626,15.40975,15.352125,14.967626,14.766624,14.907125,14.528375,13.450874,14.49025,15.065499,15.207375,15.3935,15.335374,14.995501,14.828875,15.038625,14.698124,13.20475,14.4515,15.122874,15.286625,15.38225,15.303499,15.0205,14.880875,15.154375,14.877999,13.2057495,14.22925,15.091749,15.331124,15.403999,15.285749,15.00875,14.933125,15.15825,15.0485,13.165124,14.043124,14.98475,15.2935,15.361001,15.272501,15.00525,14.945999,15.168875,15.08825,13.09325,13.884624,14.820125,15.193125,15.269249,15.26275,15.007375,14.929499,15.1845,15.028749,13.14875,13.813999,14.62725,14.988626,15.126875,15.228749,14.98225,14.943874,15.14475,14.993251,13.165999,13.740624,14.468375,14.794124,15.01425,15.217749,14.97625,14.943874,15.1223755,14.9305,13.102749,13.6571245,14.3745,14.62675,14.960375,15.25,15.007624,14.915124,15.13525,14.816375,13.086625,13.534249,14.333,14.64625,14.959,15.298375,15.010374,14.899126,15.089874,14.68725,13.101999,13.410124,14.302249,14.731375,14.99575,15.342625,15.000625,14.889126,15.03575,14.569502,13.209625,13.35775,14.231874,14.83025,15.151999,15.3323765,14.975374,14.888875,15.044126,14.55075,13.298749,13.434499,14.120625,14.8515005,15.208126,15.269376,14.942625,14.8949995,15.066376,14.608499,13.371626,13.62025,13.97575,14.807375,15.179376,15.161999,14.903624,14.906499,15.100124,14.731125,13.433,13.8307495,13.957376,14.693,15.000751,15.094125,14.82725,14.9095,15.137,14.87025
2019-01-06,14.2891245,14.359375,15.155624,15.325375,15.3555,15.0356245,14.733874,14.665499,14.74175,14.244501,14.140374,14.456124,15.106875,15.298499,15.368249,15.052875,14.759874,14.8165,14.853499,14.463125,13.892126,14.544498,15.047125,15.274248,15.36725,15.067124,14.79625,14.957,14.94425,14.70375,13.84725,14.664875,14.9885,15.294125,15.269249,15.072374,14.899251,14.972499,15.0265,14.793375,13.712625,14.737375,14.994875,15.259375,15.283625,15.075748,14.920125,14.935499,15.064249,14.825624,13.50925,14.772874,15.050624,15.1831255,15.383375,15.078,14.878249,14.858875,15.067875,14.813875,13.304249,14.645248,14.995625,15.273749,15.2994995,15.071125,14.891125,14.878624,14.9715,14.746374,13.1570015,14.4755,14.948875,15.308249,15.233124,15.085376,14.876875,14.864,14.882875,14.606749,13.11525,14.241125,14.924251,15.22775,15.2125,15.138124,14.808625,14.777374,14.816374,14.339499,13.031751,14.008125,14.746875,15.087125,15.13575,15.047499,14.83725,14.763501,14.764376,14.21825,12.938624,13.788749,14.529375,14.928249,15.02725,14.937,14.88025,14.758499,14.695,14.13325,12.8715,13.649499,14.376875,14.78225,14.839625,14.997749,14.81825,14.6657505,14.49525,13.974374,12.912875,13.4865,14.255499,14.615874,14.70825,15.012876,14.78425,14.652124,14.464749,13.932875,13.045624,13.304375,14.160125,14.433001,14.624374,14.989125,14.7745,14.705375,14.578625,13.9904995,13.08275,13.29175,14.111624,14.486,14.704374,15.042749,14.833125,14.7404995,14.597375,14.208124
2019-01-07,13.664625,14.214874,15.28075,15.108999,15.059875,14.700375,14.681125,14.581999,14.6016245,14.360999,13.707748,14.225625,15.283375,15.099125,15.102249,14.766749,14.676374,14.772375,14.652126,14.450125,13.688374,14.2235,15.277875,15.10975,15.1385,14.841125,14.67525,14.955124,14.711749,14.576376,13.67725,14.223626,15.244,15.24975,15.0725,14.963249,14.800499,14.932124,14.897499,14.697,13.674124,14.204875,15.179125,15.238377,15.127251,14.984124,14.855,14.85475,14.96625,14.711,13.676875,14.171625,15.09075,15.11175,15.274124,14.9275,14.855499,14.736875,14.945499,14.644751,13.563875,14.284501,14.894125,15.179998,15.2265005,14.953875,14.845501,14.754625,14.838999,14.562499,13.4395,14.361125,14.778749,15.172625,15.195875,15.005124,14.831876,14.7404995,14.729375,14.410875,13.3029995,14.360624,14.81975,15.01225,15.211375,15.094874,14.8115,14.657124,14.62025,14.134251,13.101249,14.267124,14.785251,14.996375,15.204124,15.078751,14.765249,14.634126,14.481874,14.075625,12.893748,14.148749,14.728749,15.02475,15.195,15.036375,14.72325,14.622124,14.32575,14.088251,12.7838745,14.067,14.694501,15.030749,15.222749,15.054375,14.757124,14.552125,14.122374,14.091874,12.730625,13.856124,14.599999,15.031,15.144374,15.02825,14.715376,14.509999,14.0546255,13.9955,12.725626,13.536,14.455,15.025499,14.975875,14.964749,14.610001,14.4915,14.102374,13.815,12.688375,13.32425,14.274,14.851374,14.883751,14.813999,14.675875,14.504499,14.0998745,13.832876
2019-01-08,13.081875,13.99325,14.621874,14.576876,14.498875,14.393001,14.4695,14.531374,14.48725,14.80875,13.067875,13.999374,14.635626,14.568,14.556875,14.487,14.542375,14.643,14.53025,14.6825,13.0078745,13.974124,14.64525,14.575875,14.6189995,14.577375,14.604626,14.749249,14.6005,14.564499,13.004125,13.94425,14.63625,14.6102495,14.65125,14.638375,14.636999,14.752,14.731625,14.574625,12.9783745,13.91225,14.6346245,14.638374,14.709001,14.682499,14.643001,14.731625,14.781374,14.600374,12.935249,13.879,14.638875,14.6622505,14.785625,14.71325,14.629125,14.6936245,14.76925,14.638124,12.909749,13.782624,14.59475,14.727125,14.825375,14.749,14.6311245,14.647625,14.64875,14.503501,12.8845,13.680999,14.542874,14.76625,14.850124,14.783624,14.635875,14.5945,14.520875,14.347251,12.85775,13.574875,14.479626,14.7561245,14.851,14.815875,14.64475,14.529625,14.3885,14.1641245,12.735249,13.520875,14.38825,14.735498,14.83925,14.8288765,14.630374,14.469875,14.230875,14.09525,12.58325,13.49475,14.282875,14.69525,14.821624,14.835,14.609999,14.408251,14.075624,14.081875,12.449,13.530249,14.151875,14.562875,14.7965,14.838374,14.598749,14.324499,13.984874,14.167749,12.2734995,13.4975,14.063499,14.48975,14.777626,14.839375,14.581125,14.261749,13.916626,14.177001,12.062875,13.406626,14.0115,14.467126,14.764124,14.838249,14.557375,14.216374,13.866749,14.121499,11.863251,13.185626,13.9215,14.4471245,14.789749,14.789375,14.544375,14.2365,13.8532505,13.91975
2019-01-09,12.803875,13.992624,14.385501,14.379999,14.400625,14.438499,14.583875,14.633375,14.896124,15.442249,12.85325,14.00025,14.356375,14.3688755,14.453625,14.496499,14.634375,14.670124,14.797625,15.329249,12.84625,13.96375,14.33025,14.363874,14.499001,14.542875,14.681,14.713876,14.704625,15.1571245,12.77775,13.825375,14.286625,14.334499,14.547,14.548249,14.656625,14.707625,14.7035,14.927249,12.69475,13.711375,14.225626,14.316125,14.550375,14.5721245,14.612375,14.692749,14.701375,14.780499,12.600249,13.616625,14.151375,14.3063755,14.520249,14.6102495,14.553249,14.671499,14.69825,14.697749,12.470375,13.509626,14.129499,14.305124,14.553624,14.620499,14.564,14.557751,14.5182495,14.579749,12.325375,13.384625,14.097624,14.3085,14.57425,14.638248,14.573874,14.4675,14.3485,14.437752,12.153874,13.227374,14.043249,14.320126,14.566125,14.6705,14.577625,14.42775,14.210625,14.253749,11.987375,13.067375,13.953874,14.3285,14.575375,14.66675,14.566249,14.33725,14.090376,14.212125,11.828624,12.91725,13.842874,14.320625,14.574625,14.649624,14.550375,14.23275,13.992499,14.231874,11.704749,12.832375,13.671875,14.224374,14.483251,14.6258745,14.5365,14.148624,13.990126,14.333749,11.636125,12.785875,13.5355,14.110999,14.4135,14.626999,14.506999,14.086875,13.964874,14.426374,11.613874,12.771873,13.428249,13.983249,14.361875,14.64975,14.46475,14.04475,13.92025,14.51125,11.84,12.529375,13.330875,13.950125,14.4002495,14.609376,14.439749,14.071874,13.8445,14.320126
2019-01-10,12.713874,13.9,14.615375,14.574,14.539125,14.657749,14.713876,14.783,14.857375,15.255,12.711875,13.896874,14.522625,14.559626,14.62425,14.67725,14.757375,14.774125,14.8289995,15.21875,12.725624,13.874,14.449999,14.544499,14.704125,14.697374,14.7891245,14.750875,14.807375,15.144501,12.856249,13.83525,14.45925,14.517874,14.721623,14.706375,14.757999,14.731251,14.743,14.989625,12.855,13.73275,14.379124,14.4515,14.7105,14.717501,14.7545,14.704999,14.695749,14.82275,12.75375,13.581626,14.231125,14.355,14.677624,14.730374,14.770251,14.673375,14.661374,14.64675,12.598749,13.455001,14.12775,14.278999,14.593374,14.754374,14.80275,14.67,14.553625,14.579875,12.408625,13.309499,14.019875,14.217124,14.535375,14.777624,14.815001,14.6605,14.45575,14.513374,12.15925,13.12775,13.89975,14.179125,14.529625,14.797999,14.789999,14.637625,14.382499,14.439624,12.007999,12.861,13.794125,14.169374,14.527875,14.801749,14.784374,14.582999,14.339748,14.488875,11.908999,12.5842495,13.68725,14.163124,14.519125,14.792749,14.78125,14.520499,14.334,14.58225,11.921874,12.416625,13.545999,14.122499,14.46175,14.742375,14.757124,14.472875,14.488499,14.692874,11.952124,12.371,13.411876,14.050624,14.395374,14.715125,14.7092495,14.41375,14.557375,14.80275,11.997126,12.42925,13.28425,13.95175,14.321249,14.708,14.641749,14.344125,14.554501,14.91175,12.130626,12.5008745,13.243125,13.959875,14.282,14.648874,14.5617485,14.384875,14.418875,14.935876
