Model,Hyperparameter,t0,input,rmse1,rmse7,rmse30
ARIMA,"ARIMA(2, 1, 3)",74,30,0.6540533786852133,0.8485710618551778,1.3087613021560343
ARIMA,"ARIMA(2, 1, 3)",93,30,1.2074580341575383,1.4388875820798745,1.6639212109739019
ARIMA,"ARIMA(2, 1, 3)",98,30,0.888750012317511,1.1747282658371592,1.6132055744979414
ARIMA,"ARIMA(2, 1, 3)",108,30,0.9105366445667826,1.4063853587948147,2.321589216455716
ARIMA,"ARIMA(2, 1, 3)",113,30,0.9084730223256005,1.0835745287287843,2.1494614139283965
ARIMA,"ARIMA(2, 1, 3)",116,30,0.797144840009999,0.9880561882527293,1.9306955445666998
ARIMA,"ARIMA(2, 1, 3)",121,30,0.6627167750311498,0.931994716323204,1.8821969816041824
ARIMA,"ARIMA(2, 1, 3)",132,30,0.8955496593467935,1.4830624259143002,2.2214353856495754
ARIMA,"ARIMA(2, 1, 3)",155,30,0.760518308020128,0.8386454631677143,2.8121261887903772
ARIMA,"ARIMA(2, 1, 3)",164,30,0.5069558678184948,1.578754459097372,2.8105390799748102
ARIMA,"ARIMA(2, 1, 3)",178,30,0.6322307340987361,2.5365016005920173,9.440219845583956
ARIMA,"ARIMA(2, 1, 3)",187,30,1.8946791990839666,1.7781731320201124,3.616582537432044
ARIMA,"ARIMA(2, 1, 3)",196,30,0.953550532528641,1.7929833715546604,4.44282099430388
ARIMA,"ARIMA(2, 1, 3)",198,30,2.720298908904422,2.402695408538819,4.663620358962648
ARIMA,"ARIMA(2, 1, 3)",210,30,1.3345716324229266,2.1791253452745365,2.063956702547355
ARIMA,"ARIMA(2, 1, 3)",226,30,0.8906401081624881,1.081607319434988,1.486831794574085
ARIMA,"ARIMA(2, 1, 3)",227,30,0.7514953806325119,0.9981874333483032,1.4180264981233905
ARIMA,"ARIMA(2, 1, 3)",256,30,0.7480071574261349,1.4849919197469916,1.8943711831258072
ARIMA,"ARIMA(2, 1, 3)",266,30,0.9683160469259825,1.2272373045881693,3.591586988920273
ARIMA,"ARIMA(2, 1, 3)",284,30,0.8135741041230531,1.4362611422423048,3.995631135278213
ARIMA,"ARIMA(2, 1, 3)",307,30,0.7057510722217332,0.935657837876099,2.5226421905117786
ARIMA,"ARIMA(2, 1, 3)",335,30,0.7237466128798115,1.2148543273299979,3.7069049214377565
ARIMA,"ARIMA(2, 1, 3)",358,30,0.4775236166665347,0.7685070527497553,1.6397360185663037
ARIMA,"ARIMA(2, 1, 3)",365,30,0.6954651780343399,0.9419442594721786,1.6762780605703547
ARIMA,"ARIMA(2, 1, 3)",374,30,0.6241542368392826,0.9398127257066299,2.2100609277321994
