Model,Hyperparameter,t0,input,rmse1,rmse7,rmse30
ARIMA,"ARIMA(0, 0, 3)",30,30,2.980262704,11.17125676,11.78657176
ARIMA,"ARIMA(0, 0, 3)",32,30,2.800117437,10.55182973,11.70771459
ARIMA,"ARIMA(0, 0, 3)",38,30,2.401198542,10.10390674,11.84523447
ARIMA,"ARIMA(0, 0, 3)",46,30,3.106190595,10.5859828,12.08677946
ARIMA,"ARIMA(0, 0, 3)",62,30,2.897693115,10.92727149,12.15898684
ARIMA,"ARIMA(0, 0, 3)",69,30,2.70402115,10.8716958,12.51257773
ARIMA,"ARIMA(0, 0, 3)",70,30,2.622880603,10.94835468,12.564183
ARIMA,"ARIMA(0, 0, 3)",81,30,2.050463456,10.88190956,13.06286723
ARIMA,"ARIMA(0, 0, 3)",85,30,2.793109071,11.15237347,13.34433903
ARIMA,"ARIMA(0, 0, 3)",97,30,3.226558859,11.89015526,13.94271049
ARIMA,"ARIMA(0, 0, 3)",107,30,3.571084145,12.57447494,14.74948258
ARIMA,"ARIMA(0, 0, 3)",108,30,3.246026559,12.47354604,14.79007583
ARIMA,"ARIMA(0, 0, 3)",129,30,2.280302398,13.44372869,16.61610014
ARIMA,"ARIMA(0, 0, 3)",131,30,4.265201893,14.09653539,16.83557245
ARIMA,"ARIMA(0, 0, 3)",136,30,4.960878876,15.46824001,17.33664262
ARIMA,"ARIMA(0, 0, 3)",138,30,5.744676551,15.24952415,17.50101954
ARIMA,"ARIMA(0, 0, 3)",148,30,5.593311611,15.84578003,18.85013222
ARIMA,"ARIMA(0, 0, 3)",156,30,4.152401373,16.01582438,19.65160447
ARIMA,"ARIMA(0, 0, 3)",165,30,5.742102007,17.78116883,20.31568566
ARIMA,"ARIMA(0, 0, 3)",168,30,5.439220196,18.15760727,20.37067828
ARIMA,"ARIMA(0, 0, 3)",169,30,4.631118214,18.39708206,20.46372928
ARIMA,"ARIMA(0, 0, 3)",180,30,5.455165715,18.29201463,21.37280013
ARIMA,"ARIMA(0, 0, 3)",182,30,4.177105543,18.42574893,21.70672225
ARIMA,"ARIMA(0, 0, 3)",190,30,2.143540068,17.98770636,23.4250118
ARIMA,"ARIMA(0, 0, 3)",194,30,5.762012836,19.50461849,24.09181656
ARIMA,"ARIMA(0, 0, 3)",197,30,6.364083177,19.82615002,24.37648352
ARIMA,"ARIMA(0, 0, 3)",199,30,5.63586138,20.32308739,24.57400697
ARIMA,"ARIMA(0, 0, 3)",200,30,6.893117969,21.09889662,24.74133517
ARIMA,"ARIMA(0, 0, 3)",206,30,7.806365592,21.55143751,24.98366453
ARIMA,"ARIMA(0, 0, 3)",207,30,4.323729316,20.80716307,24.82881145
ARIMA,"ARIMA(0, 0, 3)",210,30,5.448300691,22.54107117,24.97059891
ARIMA,"ARIMA(0, 0, 3)",211,30,3.138125026,22.89940731,24.92798891
ARIMA,"ARIMA(0, 0, 3)",213,30,5.618356428,23.70467886,24.80367056
ARIMA,"ARIMA(0, 0, 3)",218,30,6.156934193,22.39844199,24.34273322
ARIMA,"ARIMA(0, 0, 3)",223,30,5.516283307,21.78612968,24.23068417
ARIMA,"ARIMA(0, 0, 3)",229,30,4.868960003,21.9052381,23.83515479
ARIMA,"ARIMA(0, 0, 3)",233,30,6.536637034,21.89401569,23.56305459
ARIMA,"ARIMA(0, 0, 3)",235,30,6.80687126,21.9645808,23.54609769
ARIMA,"ARIMA(0, 0, 3)",238,30,8.173049956,21.37583043,23.41720322
ARIMA,"ARIMA(0, 0, 3)",240,30,7.316087053,21.54611724,23.35372917
ARIMA,"ARIMA(0, 0, 3)",250,30,6.32348947,20.65671038,22.36380191
ARIMA,"ARIMA(0, 0, 3)",260,30,5.607577936,20.67579658,22.08213539
ARIMA,"ARIMA(0, 0, 3)",261,30,4.073891763,20.32603568,21.93287639
ARIMA,"ARIMA(0, 0, 3)",277,30,4.548036284,19.95745916,20.70403869
ARIMA,"ARIMA(0, 0, 3)",281,30,5.646245982,19.52613059,20.18324549
ARIMA,"ARIMA(0, 0, 3)",283,30,4.79895789,19.09771811,19.89467028
ARIMA,"ARIMA(0, 0, 3)",287,30,3.593056521,18.3017087,19.35904304
ARIMA,"ARIMA(0, 0, 3)",289,30,3.510537348,17.89392223,19.07489445
ARIMA,"ARIMA(0, 0, 3)",296,30,3.993027276,17.54038663,18.2189273
ARIMA,"ARIMA(0, 0, 3)",304,30,5.148243717,16.88704288,17.23779129
ARIMA,"ARIMA(0, 0, 3)",305,30,4.19400102,16.78824351,17.11213567
ARIMA,"ARIMA(0, 0, 3)",313,30,4.549896215,15.77328455,15.95053051
ARIMA,"ARIMA(0, 0, 3)",322,30,4.010508668,14.64508115,14.56483053
ARIMA,"ARIMA(0, 0, 3)",324,30,3.958231359,14.33863599,14.2537672
ARIMA,"ARIMA(0, 0, 3)",325,30,3.552398481,14.27153008,14.14289998
