Model,Hyperparameter,t0,input,rmse1,rmse7,rmse30
SARIMA,"order=(1, 0, 0), seasonal=(0, 1, 0, 7)",30,30,0.884782839,1.647769581,2.577401586
SARIMA,"order=(1, 0, 0), seasonal=(0, 1, 0, 7)",228,30,2.161089494,2.498708944,4.821932271
SARIMA,"order=(1, 0, 0), seasonal=(0, 1, 0, 7)",231,30,1.334495246,1.380050283,1.572162178
SARIMA,"order=(1, 0, 0), seasonal=(0, 1, 0, 7)",243,30,1.574327353,1.412004894,1.90744548
SARIMA,"order=(1, 0, 0), seasonal=(0, 1, 0, 7)",244,30,1.008864055,2.22741045,2.980791
SARIMA,"order=(1, 0, 0), seasonal=(0, 1, 0, 7)",249,30,0.951377371,1.435304612,1.976758383
SARIMA,"order=(1, 0, 0), seasonal=(0, 1, 0, 7)",307,30,0.720449453,0.949049692,1.941323533
SARIMA,"order=(1, 0, 0), seasonal=(0, 1, 0, 7)",328,30,0.889827285,1.17538924,2.747022726
SARIMA,"order=(1, 0, 0), seasonal=(0, 1, 0, 7)",343,30,1.218731654,1.317511277,1.435125438
SARIMA,"order=(1, 0, 0), seasonal=(0, 1, 0, 7)",524,30,0.865119721,1.275046364,2.515159728
SARIMA,"order=(1, 0, 0), seasonal=(0, 1, 0, 7)",558,30,3.364934803,3.5643442,4.145075044
SARIMA,"order=(1, 0, 0), seasonal=(0, 1, 0, 7)",560,30,0.890889148,2.18624361,3.354441298
SARIMA,"order=(1, 0, 0), seasonal=(0, 1, 0, 7)",575,30,1.090632967,2.018725721,2.242014906
SARIMA,"order=(1, 0, 0), seasonal=(0, 1, 0, 7)",587,30,0.768110764,1.461105879,3.160686643
SARIMA,"order=(1, 0, 0), seasonal=(0, 1, 0, 7)",616,30,1.210919705,2.054590684,7.807407083
SARIMA,"order=(1, 0, 0), seasonal=(0, 1, 0, 7)",663,30,0.712803907,1.365241952,2.327249193
SARIMA,"order=(1, 0, 0), seasonal=(0, 1, 0, 7)",829,30,0.896854728,0.801901329,2.162275838
SARIMA,"order=(1, 0, 0), seasonal=(0, 1, 0, 7)",889,30,1.08216391,1.161520585,2.867878184
SARIMA,"order=(1, 0, 0), seasonal=(0, 1, 0, 7)",919,30,0.976768777,1.846247507,2.784746453
SARIMA,"order=(1, 0, 0), seasonal=(0, 1, 0, 7)",949,30,1.342929664,2.051105801,2.438954664
SARIMA,"order=(1, 1, 1), seasonal=(0, 1, 1, 7)",46,30,9648198382,7.67049E+11,1.84E+20
SARIMA,"order=(1, 1, 1), seasonal=(0, 1, 1, 7)",110,30,3735.638964,6342.896596,999726.3697
SARIMA,"order=(1, 1, 1), seasonal=(0, 1, 1, 7)",132,30,9.51E+24,1.28E+31,8.01E+55
SARIMA,"order=(1, 1, 1), seasonal=(0, 1, 1, 7)",134,30,1.04E+41,9.90E+50,3.53E+90
SARIMA,"order=(1, 1, 1), seasonal=(0, 1, 1, 7)",141,30,2.66213E+13,3.07E+16,2.95E+29
SARIMA,"order=(1, 1, 1), seasonal=(0, 1, 1, 7)",191,30,4.88085E+12,3.65042E+15,6.49E+27
SARIMA,"order=(1, 1, 1), seasonal=(0, 1, 1, 7)",219,30,4.57E+20,4.29E+25,9.67E+45
SARIMA,"order=(1, 1, 1), seasonal=(0, 1, 1, 7)",221,30,1.98E+43,9.08E+53,1.35E+96
SARIMA,"order=(1, 1, 1), seasonal=(0, 1, 1, 7)",227,30,5.36E+34,1.54E+43,8.12E+76
SARIMA,"order=(1, 1, 1), seasonal=(0, 1, 1, 7)",242,30,2.56E+16,9.48E+19,8.29E+34
SARIMA,"order=(1, 1, 1), seasonal=(0, 1, 1, 7)",492,30,75398594526,1.81541E+13,3.84E+23
SARIMA,"order=(1, 1, 1), seasonal=(0, 1, 1, 7)",542,30,1.0429E+15,3.45E+18,1.94E+33
SARIMA,"order=(1, 1, 1), seasonal=(0, 1, 1, 7)",563,30,1.85E+25,4.92E+31,4.17E+57
SARIMA,"order=(1, 1, 1), seasonal=(0, 1, 1, 7)",671,30,20588.2647,454502.1017,18260184637
SARIMA,"order=(1, 1, 1), seasonal=(0, 1, 1, 7)",697,30,552569.4194,15714160.41,2.80372E+12
SARIMA,"order=(1, 1, 1), seasonal=(0, 1, 1, 7)",750,30,60623.30726,838077.7073,3.63201E+12
SARIMA,"order=(1, 1, 1), seasonal=(0, 1, 1, 7)",837,30,4.42E+21,8.25E+26,2.60E+48
SARIMA,"order=(1, 1, 1), seasonal=(0, 1, 1, 7)",889,30,6.20E+26,3.64E+34,4.41E+65
SARIMA,"order=(1, 1, 1), seasonal=(0, 1, 1, 7)",933,30,121.5207092,80.05585018,204.1854106
SARIMA,"order=(1, 1, 1), seasonal=(0, 1, 1, 7)",974,30,1.72E+23,1.12E+28,6.23E+47
