Model,Hyperparameter,t0,input,rmse1,rmse7,rmse30
SARIMAX-Fourier,"ARIMA(1, 0, 0)+Fourier(K=1,P=365)",58,30,0.5217012994444747,0.9603089857697351,1.7815762755915923
SARIMAX-Fourier,"ARIMA(1, 0, 0)+Fourier(K=1,P=365)",96,30,1.0938371410391654,1.8738088915423894,4.112593886046183
SARIMAX-Fourier,"ARIMA(1, 0, 0)+Fourier(K=1,P=365)",211,30,0.5651047161545937,2.358888646228669,2.1833301507671083
SARIMAX-Fourier,"ARIMA(1, 0, 0)+Fourier(K=1,P=365)",216,30,1.64061390227778,1.6262607019543227,2.322231990081996
SARIMAX-Fourier,"ARIMA(1, 0, 0)+Fourier(K=1,P=365)",242,30,0.542005060267445,1.9226256178502144,5.025605702337399
SARIMAX-Fourier,"ARIMA(1, 0, 0)+Fourier(K=1,P=365)",276,30,0.7288049840866305,2.5490867465973435,4.6299512302402235
SARIMAX-Fourier,"ARIMA(1, 0, 0)+Fourier(K=1,P=365)",314,30,0.6340762955217714,0.9430042585691292,2.3256215137552654
SARIMAX-Fourier,"ARIMA(1, 0, 0)+Fourier(K=1,P=365)",465,30,0.9298469836425791,1.0815640803384123,2.2084930262226994
SARIMAX-Fourier,"ARIMA(1, 0, 0)+Fourier(K=1,P=365)",507,30,0.7715451854245629,1.75511759540777,4.120333394323781
SARIMAX-Fourier,"ARIMA(1, 0, 0)+Fourier(K=1,P=365)",523,30,0.8209425387545366,0.7307967165960795,1.5325765226791999
SARIMAX-Fourier,"ARIMA(1, 0, 0)+Fourier(K=1,P=365)",524,30,0.6430432010422606,0.6448117657898486,1.7483001810635348
SARIMAX-Fourier,"ARIMA(1, 0, 0)+Fourier(K=1,P=365)",563,30,2.0217716513341655,3.482861507300212,8.756305507962427
SARIMAX-Fourier,"ARIMA(1, 0, 0)+Fourier(K=1,P=365)",598,30,0.9670933522133454,1.0902117920972045,2.561583046043681
SARIMAX-Fourier,"ARIMA(1, 0, 0)+Fourier(K=1,P=365)",603,30,0.7081948833276702,1.2986672482383337,4.790228370707894
SARIMAX-Fourier,"ARIMA(1, 0, 0)+Fourier(K=1,P=365)",632,30,0.84557089832978,1.2919703748606297,2.1217423388579446
SARIMAX-Fourier,"ARIMA(1, 0, 0)+Fourier(K=1,P=365)",712,30,0.9971278447953349,1.257405246387997,2.2745680894670364
SARIMAX-Fourier,"ARIMA(1, 0, 0)+Fourier(K=1,P=365)",718,30,0.5636068803023955,0.8868605975916353,1.800388128678619
SARIMAX-Fourier,"ARIMA(1, 0, 0)+Fourier(K=1,P=365)",985,30,1.519190259971696,1.8985840614771985,4.234147511893403
SARIMAX-Fourier,"ARIMA(1, 0, 0)+Fourier(K=1,P=365)",1048,30,0.5682765762723101,0.7957392296107908,3.144189202662343
SARIMAX-Fourier,"ARIMA(1, 0, 0)+Fourier(K=1,P=365)",1084,30,0.5768534339552986,0.9321450141430007,2.3524684587363547
SARIMAX-Fourier,"ARIMA(1, 1, 1)+Fourier(K=2,P=365)",51,30,0.6106151952962977,2.944576701742474,51.555874060758676
SARIMAX-Fourier,"ARIMA(1, 1, 1)+Fourier(K=2,P=365)",53,30,0.8903403358081976,4.4067837687453215,80.24433998869621
SARIMAX-Fourier,"ARIMA(1, 1, 1)+Fourier(K=2,P=365)",64,30,1.3337052127543536,5.319397865805758,79.30109622194445
SARIMAX-Fourier,"ARIMA(1, 1, 1)+Fourier(K=2,P=365)",156,30,2.0420804153481416,4.062648711704655,67.82385170452731
SARIMAX-Fourier,"ARIMA(1, 1, 1)+Fourier(K=2,P=365)",243,30,2.452307446342924,14.278723447013721,242.33625057344682
SARIMAX-Fourier,"ARIMA(1, 1, 1)+Fourier(K=2,P=365)",263,30,1.411398762309779,3.801879472754619,58.33791092173931
SARIMAX-Fourier,"ARIMA(1, 1, 1)+Fourier(K=2,P=365)",375,30,1.2914729442497455,5.218936586906707,86.17281785563296
SARIMAX-Fourier,"ARIMA(1, 1, 1)+Fourier(K=2,P=365)",386,30,2.091989923236824,6.173391547707955,89.68225648208731
SARIMAX-Fourier,"ARIMA(1, 1, 1)+Fourier(K=2,P=365)",473,30,1.422801177746917,2.855072571306982,61.901771204379926
SARIMAX-Fourier,"ARIMA(1, 1, 1)+Fourier(K=2,P=365)",485,30,1.4568843136240668,3.4853614316968695,53.20127794103137
SARIMAX-Fourier,"ARIMA(1, 1, 1)+Fourier(K=2,P=365)",491,30,1.2024468759618288,2.9009002624171982,48.062376716243655
SARIMAX-Fourier,"ARIMA(1, 1, 1)+Fourier(K=2,P=365)",529,30,1.2362334924737337,3.7602223963899863,93.25193363693026
SARIMAX-Fourier,"ARIMA(1, 1, 1)+Fourier(K=2,P=365)",534,30,1.1638929244800937,6.810520308746316,97.55626634570869
SARIMAX-Fourier,"ARIMA(1, 1, 1)+Fourier(K=2,P=365)",667,30,0.9908217200724371,4.406864790035778,68.77743266417185
SARIMAX-Fourier,"ARIMA(1, 1, 1)+Fourier(K=2,P=365)",756,30,0.7922199309585907,4.156584350061293,64.9772906984947
SARIMAX-Fourier,"ARIMA(1, 1, 1)+Fourier(K=2,P=365)",843,30,2.190207004126028,5.238568725053841,55.202521446183944
SARIMAX-Fourier,"ARIMA(1, 1, 1)+Fourier(K=2,P=365)",860,30,3.4817726570515632,11.341867321111105,167.8448485725983
SARIMAX-Fourier,"ARIMA(1, 1, 1)+Fourier(K=2,P=365)",1043,30,1.0596826718243333,2.7115514075720992,38.42930654551512
SARIMAX-Fourier,"ARIMA(1, 1, 1)+Fourier(K=2,P=365)",1087,30,0.9742249900536991,3.28189988852213,49.05781220481272
SARIMAX-Fourier,"ARIMA(1, 1, 1)+Fourier(K=2,P=365)",1092,30,0.9790265223028878,3.848250009140668,64.01432813194684
