Model,Hyperparameter,t0,input,rmse1,rmse7,rmse30
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",157,30,46.98250487608068,17442.675086438958,3220992137022.6714
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",166,30,0.48649968782915176,1.380214132592573,2.0681463357956886
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",199,30,84982600935.60748,27164528471075.504,1.7147289067021783e+60
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",205,30,36740426085.40278,172655536454521.88,1.5209500238637468e+33
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",214,30,3.1165916292394025,3.372134819047064,4.309613577790414
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",216,30,4.813592970483945,529935231.3043534,1.2830467506241438e+43
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",284,30,1.2143635760823337,1.1773245549390812,1.528233874226377
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",361,30,5.373073919150197,3.464825745474098,5677712.431323195
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",392,30,4.712610186293111,1613300.7313721378,3.077142061884277e+29
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",427,30,13380996.685839526,1358592086.5872324,6.174531220098611e+17
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",483,30,3.883531621804656,7.39689864472465,8026446.8464209335
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",584,30,14.390483022092655,50.24289104889699,4637981148.9044285
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",742,30,7.108624889739917,15.571998811771907,1202720997.6553624
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",766,30,2.523919247402695,4.36476631623934,1419974.618940715
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",831,30,0.6692870564098434,1.0267361309873022,8.811114375445147
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",883,30,0.5412813926871644,1.2100028109384198,3.1246293064169732
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",894,30,105695.12658803767,871119910.1535631,8.140954180732825e+38
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",914,30,449406.3058843745,114059658.67034352,1.8542696892815524e+16
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",924,30,1.8097769416275653,2.562630329131061,3.350156227791918
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",926,30,5564578.759775708,992235085.6214368,2.950937708249177e+18
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",929,30,0.968582469984371,4795.149020242676,1.852687420105969e+22
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1023,30,0.8912334683490125,0.9569874776681437,2.664314993022138
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1047,30,0.8262983657895603,3.1075172484902076,247119.33807010864
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1070,30,22.049706731199176,58219013.42753848,1.6802219302711223e+34
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1117,30,7.271928375374121,2637399.454275468,1.042601273873788e+29
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1138,30,10.729179430766369,2627730592.9761806,1.897826654565755e+43
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1296,30,2.205102703323811,2.120759462621326,4.8393555940492385
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1311,30,2.984237500637874,3.6631925374181327,105.68972176293924
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1318,30,1.352606537676827,2.5685417985876806,7.314950418063764
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1395,30,2.4255367088921083,2.8495369967986632,1381655.885203461
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1405,30,4.5217558982950005e+21,1.8147650010674505e+30,3.4825537647266314e+64
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1436,30,5.498414994050161,54.561694470390485,225404364845.09756
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1450,30,0.7531037967504073,1.2798187663370926,3.196312195424418
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1485,30,3.45212659095945e+28,1.2005968105552423e+41,2.8717099542325763e+90
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1536,30,385417.1669584422,666959.299748403,22706452574152.29
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1551,30,2.120139471941661,10.475879459943627,13237907.339499546
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1552,30,4.899893140742971,11.455359459382516,308666039.0093905
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1585,30,0.8215014933559335,1.4297616658523618,14913.1316553144
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1587,30,1.20251080679001,1.2896733660262891,25148.288819068537
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1598,30,15.513211283719967,632924290.1550448,1.6455677917730423e+39
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1669,30,38.44983713194608,193.29501975974216,18432819174.3431
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1687,30,482760.2409919646,140012334.49916357,2.813564449421132e+18
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1696,30,15.329650513258512,400.3298492639537,6536992726.635152
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1722,30,0.8677927053767728,1.7176374155049299,3.0932327688808683
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1748,30,55546.408251700785,116007045.18059841,1.3184682828448756e+19
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1805,30,346378038.84286577,1359318857.733603,1.6183749657232477e+21
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1827,30,6048.701653596635,1262601.6250654818,1967911330025044.5
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1873,30,123001.85435457043,213841607.74421582,1.9243495140822918e+21
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1958,30,6.830349289652491,1837733.702954481,1.8934036079497638e+28
SARIMA,"SARIMA(2, 1, 2)x(1, 1, 1, 7)",1982,30,1.182650422690446,1.515361100266079,1.9442898569946785
